antecedente,"precedent, background, antecedent",Adj,,,
rebelde,"rebel, rebellious",Adj,,,
lucir,"<ul>  <li>to shine, show off, display</li>  <li>to sport, wear, look like</li></ul>",V,,intransitive,"brillar, resplandecer"
faltar,"<ul>  <li>to miss (a date or an appointment)</li>  <li>to remain, be absent, missing</li>  <li>to be lacking, lack, not have</li></ul>",V,,"intransitive, or transitive with a or de",
desagradable,"<ul>  <li>unpleasant, disagreeable, distasteful, off-putting, displeasing, unpleasing, bad, rude, unsavory, uncomfortable, unlikable, objectionable, painful, uncongenial, crappy, gnarly</li>  <li>nasty, ugly, unkind, objectionable, unsightly</li></ul>",Adj,,,
investigar,"to research, to investigate",V,,,
torturar, to torture,V,,transitive,
el símbolo,"symbol, creed",N,m,,
el/la pirata,"English, British, pirate",N,m/f,,
relajar,"<ul>  <li>to loosen up, ease up, ease, lighten, (e.g., a restriction, the mood)</li>  <li>to soothe (e.g., the body, one's skin)</li>  <li>to relax, loosen</li></ul>",V,,transitive,
el balboa,balboa,N,m,,
disparar,"<ul>  <li>to go off, be suddenly jolted into action</li>  <li>to shoot, fire, rise, go up, skyrocket</li></ul>",V,,reflexive,
"político, política","political, politician, in-law",Adj,,,
"peligroso, peligrosa","perilous, dangerous",Adj,,,
la ilusión,"<ul>  <li>hope, expectation, wishful thinking, illusion</li>  <li>enthusiasm</li></ul>",N,f,,
el cliente,"client, customer, client",N,m,,
la opción,option,N,f,,
basar,to base on,V,,,
el océano,ocean,N,m,,
la cueva,"basement, cellar, cave, black-market bureau de change; a place to exchange pesos for dólares blue.",N,f,,
el boleto,ticket,N,m,,
la droga,"drug, indebtedness, debt",N,f,,
el alquiler," rent (a payment made in exchange for something borrowed, and its amount)",N,m,,"arriendo,  renta"
espiar,"to spy, to spy on ",V,,,"avizorar, vacilar"
la república,republic,N,f,,
la garganta,"throat, gorge",N,f,anatomy,
juntar,"<ul>  <li>to combine, unite, gather (together); collect</li>  <li>to join together, gather together, socialize, get together, come together, consort</li>  <li>to close partway</li></ul>",V,,transitive,
el judas,traitor,N,m,,
la confianza,"confidence, trust",N,f,,
merecer,"to deserve, have sex, used especially when talking about a nubile girl",V,,,
la idea,idea,N,f,,
extra,"superior, extra, extraordinary, additional, extra",Adj,,,
"típico, típica","typical, traditional, a dance and music style from Panama",Adj,,,"característico, peculiar"
la prisa,"hurry, rush, urgency",N,f,,"premura, apuro, urgencia"
la cirugía,surgery,N,f,,
la eternidad,eternity,N,f,,
el lujo,"<ul>  <li>ritz, fanciness, luxury, extravagance, luxury</li>  <li>luxury, treat, indulgence</li></ul>",N,m,,
"falso, falsa","<ul>  <li>first-person singular present indicative of falsar</li>  <li>false; untrue, fake; counterfeit</li></ul>",Adj,,,
pasear,"<ul>  <li>to take a walk, stroll, saunter, promenade</li>  <li>to ride, go for a ride (e.g. on an animal, in a car, in a hot air balloon)</li>  <li>to loiter, walk, take a walk</li>  <li>to walk (e.g. a dog)</li>  <li>to stroll</li></ul>",V,,intransitive,
el ascenso,"ascent, promotion, rise",N,m,,
el disparo,"shot, gunfire, shooting",N,m,,"tiro, balazo, pistoletazo"
modal,modal,Adj,,,
apostar, to bet,V,,transitive,
"cambiado, cambiada",changed,Adj,,,
coser,to sew,V,,,
"tremendo, tremenda",tremendous,Adj,,,
"hermoso, hermosa","gorgeous, beautiful, handsome, lovely",Adj,,,"apuesto,  guapo"
el vampiro,"vampire, vampire bat",N,m,folklore,
